school,student,normexam,cons,standlrt,girl,schgend,avslrt,schav,vrband,boys_sch,girls_sch,interaction,intgirls_sch,intboys_sch
1.0,1.0,0.2613244652748108,1.0,0.6190592646598816,girl,mixedsch,0.16617454588413239,mid,vb1,0.0,0.0,0.6190592646598816,0.0,0.0
1.0,2.0,0.13406679034233093,1.0,0.20580196380615234,girl,mixedsch,0.16617454588413239,mid,vb2,0.0,0.0,0.20580196380615234,0.0,0.0
1.0,3.0,-1.7238824367523193,1.0,-1.364575743675232,boy,mixedsch,0.16617454588413239,mid,vb3,0.0,0.0,0.0,0.0,0.0
1.0,4.0,0.9675859808921814,1.0,0.20580196380615234,girl,mixedsch,0.16617454588413239,mid,vb2,0.0,0.0,0.20580196380615234,0.0,0.0
1.0,5.0,0.5443409085273743,1.0,0.3711048662662506,girl,mixedsch,0.16617454588413239,mid,vb2,0.0,0.0,0.3711048662662506,0.0,0.0
1.0,6.0,1.7348991632461548,1.0,2.189436912536621,boy,mixedsch,0.16617454588413239,mid,vb1,0.0,0.0,0.0,0.0,0.0
1.0,7.0,1.0396080017089844,1.0,-1.1166213750839233,boy,mixedsch,0.16617454588413239,mid,vb3,0.0,0.0,0.0,0.0,0.0
1.0,8.0,-0.12908467650413513,1.0,-1.0339698791503906,boy,mixedsch,0.16617454588413239,mid,vb2,0.0,0.0,0.0,0.0,0.0
1.0,9.0,-0.9393776655197144,1.0,-0.5380612015724182,girl,mixedsch,0.16617454588413239,mid,vb2,0.0,0.0,-0.5380612015724182,0.0,0.0
1.0,10.0,-1.2194855213165283,1.0,-1.4472272396087646,boy,mixedsch,0.16617454588413239,mid,vb3,0.0,0.0,0.0,0.0,0.0
1.0,11.0,2.408691883087158,1.0,2.4373912811279297,boy,mixedsch,0.16617454588413239,mid,vb1,0.0,0.0,0.0,0.0,0.0
1.0,12.0,0.6107285618782043,1.0,2.106785535812378,boy,mixedsch,0.16617454588413239,mid,vb1,0.0,0.0,0.0,0.0,0.0
1.0,13.0,-1.8366867303848267,1.0,0.040499038994312286,boy,mixedsch,0.16617454588413239,mid,vb2,0.0,0.0,0.0,0.0,0.0
1.0,14.0,-0.12908467650413513,1.0,1.1976194381713867,boy,mixedsch,0.16617454588413239,mid,vb1,0.0,0.0,0.0,0.0,0.0
1.0,15.0,2.2031209468841553,1.0,2.520042896270752,boy,mixedsch,0.16617454588413239,mid,vb1,0.0,0.0,0.0,0.0,0.0
1.0,16.0,1.2405332326889038,1.0,1.1149680614471436,girl,mixedsch,0.16617454588413239,mid,vb1,0.0,0.0,1.1149680614471436,0.0,0.0
1.0,17.0,1.7348991632461548,1.0,1.0323165655136108,girl,mixedsch,0.16617454588413239,mid,vb1,0.0,0.0,1.0323165655136108,0.0,0.0
1.0,18.0,1.3101423978805542,1.0,0.7843621969223022,boy,mixedsch,0.16617454588413239,mid,vb1,0.0,0.0,0.0,0.0,0.0
1.0,19.0,-0.6230506896972656,1.0,-1.1166213750839233,boy,mixedsch,0.16617454588413239,mid,vb3,0.0,0.0,0.0,0.0,0.0
1.0,20.0,1.0396080017089844,1.0,-1.199272871017456,girl,mixedsch,0.16617454588413239,mid,vb3,0.0,0.0,-1.199272871017456,0.0,0.0
1.0,21.0,-1.029066801071167,1.0,-0.37275826930999756,girl,mixedsch,0.16617454588413239,mid,vb2,0.0,0.0,-0.37275826930999756,0.0,0.0
1.0,22.0,-1.2194855213165283,1.0,-1.364575743675232,boy,mixedsch,0.16617454588413239,mid,vb3,0.0,0.0,0.0,0.0,0.0
1.0,23.0,0.328072190284729,1.0,-0.9513183832168579,girl,mixedsch,0.16617454588413239,mid,vb2,0.0,0.0,-0.9513183832168579,0.0,0.0
1.0,24.0,-0.4927808344364166,1.0,-2.356393337249756,boy,mixedsch,0.16617454588413239,mid,vb3,0.0,0.0,0.0,0.0,0.0
1.0,25.0,1.9003351926803589,1.0,-0.042152419686317444,girl,mixedsch,0.16617454588413239,mid,vb2,0.0,0.0,-0.042152419686317444,0.0,0.0
1.0,26.0,0.8965656757354736,1.0,0.3711048662662506,boy,mixedsch,0.16617454588413239,mid,vb1,0.0,0.0,0.0,0.0,0.0
1.0,27.0,0.07353636622428894,1.0,1.1149680614471436,boy,mixedsch,0.16617454588413239,mid,vb1,0.0,0.0,0.0,0.0,0.0
1.0,28.0,0.1941491812467575,1.0,0.040499038994312286,boy,mixedsch,0.16617454588413239,mid,vb2,0.0,0.0,0.0,0.0,0.0
1.0,29.0,1.506184697151184,1.0,0.6190592646598816,girl,mixedsch,0.16617454588413239,mid,vb1,0.0,0.0,0.6190592646598816,0.0,0.0
1.0,30.0,1.9003351926803589,1.0,2.0241341590881348,boy,mixedsch,0.16617454588413239,mid,vb1,0.0,0.0,0.0,0.0,0.0
1.0,31.0,0.328072190284729,1.0,-0.6207126379013062,boy,mixedsch,0.16617454588413239,mid,vb2,0.0,0.0,0.0,0.0,0.0
1.0,32.0,0.8965656757354736,1.0,-1.1166213750839233,boy,mixedsch,0.16617454588413239,mid,vb3,0.0,0.0,0.0,0.0,0.0
1.0,33.0,1.661805510520935,1.0,0.28845342993736267,boy,mixedsch,0.16617454588413239,mid,vb2,0.0,0.0,0.0,0.0,0.0
1.0,34.0,-0.776108980178833,1.0,-0.12480387836694717,boy,mixedsch,0.16617454588413239,mid,vb2,0.0,0.0,0.0,0.0,0.0
1.0,35.0,0.4026685655117035,1.0,0.3711048662662506,boy,mixedsch,0.16617454588413239,mid,vb1,0.0,0.0,0.0,0.0,0.0
1.0,36.0,0.9675859808921814,1.0,1.0323165655136108,boy,mixedsch,0.16617454588413239,mid,vb1,0.0,0.0,0.0,0.0,0.0
